technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1560.003,Archive via Custom Method,collection,,,Linux|Windows|macOS,G0030,G0032,G0037,G0052,G0094,G0129,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1578,Modify Cloud Compute Infrastructure,defense-impairment,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1584.008,Network Devices,resource-development,,,PRE,G0007,G0065,G0128,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1583.008,Malvertising,resource-development,,,PRE,G1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1069,Permission Groups Discovery,discovery,,,Containers|IaaS|Identity Provider|Linux|Office Suite|SaaS|Windows|macOS,G0022,G0092,G0096,G1015,G1016,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1114,Email Collection,collection,,,Linux|Office Suite|Windows|macOS,G0059,G0122,G1003,G1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1032|M1041|M1047|M1060,5,5
T1003.002,Security Account Manager,credential-access,,,Windows,G0004,G0016,G0027,G0035,G0045,G0093,G0096,G0102,G1003,G1016,G1023,G1030,G1034,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1026|M1027|M1028,5,5
T1596.002,WHOIS,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1542.001,System Firmware,persistence,stealth,,Network Devices|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1046|M1051,3,7
T1594,Search Victim-Owned Websites,reconnaissance,,,PRE,G0034,G0094,G0122,G1011,G1017,G1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1069.003,Cloud Groups,discovery,,,IaaS|Identity Provider|Office Suite|SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1574.011,Services Registry Permissions Weakness,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1024,8,2
T1596.001,DNS/Passive DNS,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1499.003,Application Exhaustion Flood,impact,,,IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,10,0
T1163,Rc.common,persistence,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1016|M1033|M1051,5,5
T1588.004,Digital Certificates,resource-development,,,PRE,G0032,G0098,G0122,G0129,G1014,G1041,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1583.002,DNS Server,resource-development,,,PRE,G0001,G1001,G1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1561,Disk Wipe,impact,,,Linux|Network Devices|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1053,5,5
T1071.004,DNS,command-and-control,,,ESXi|Linux|Network Devices|Windows|macOS,G0004,G0026,G0046,G0049,G0080,G0081,G0087,G0096,G0114,G0140,G1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1552.005,Cloud Instance Metadata API,credential-access,,,IaaS,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1035|M1037|M1042,5,5
T1555.002,Securityd Memory,credential-access,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1615,Group Policy Discovery,discovery,,,Windows,G0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1542.003,Bootkit,persistence,stealth,,Linux|Windows,G0007,G0032,G0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1046,1,9
T1025,Data from Removable Media,collection,,,Linux|Windows|macOS,G0007,G0010,G0047,G0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1057,5,5
T1116,Code Signing,stealth,,,Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1218.013,Mavinject,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042,3,7
T1522,Cloud Instance Metadata API,credential-access,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1093,Process Hollowing,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1074.001,Local Data Staging,collection,,,ESXi|Linux|Windows|macOS,G0007,G0022,G0027,G0030,G0032,G0035,G0040,G0045,G0053,G0065,G0069,G0087,G0090,G0093,G0094,G0102,G0114,G0119,G0121,G0129,G0135,G0139,G1016,G1017,G1023,G1030,G1046,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1036.005,Match Legitimate Resource Name or Location,stealth,,,Containers|ESXi|Linux|Windows|macOS,G0004,G0006,G0007,G0008,G0010,G0012,G0016,G0018,G0019,G0032,G0033,G0034,G0040,G0045,G0046,G0047,G0049,G0050,G0054,G0056,G0059,G0060,G0069,G0081,G0087,G0090,G0091,G0094,G0095,G0096,G0099,G0106,G0107,G0108,G0114,G0117,G0119,G0121,G0129,G0134,G0135,G0137,G0139,G0143,G1003,G1006,G1008,G1014,G1016,G1017,G1018,G1020,G1022,G1023,G1024,G1032,G1039,G1044,G1046,G1047,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1038|M1045,3,7
T1172,Domain Fronting,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1587.003,Digital Certificates,resource-development,,,PRE,G0016,G0047,G0056,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1565.001,Stored Data Manipulation,impact,,,Linux|Windows|macOS,G0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1041,5,5
T1110.002,Password Cracking,credential-access,,,Identity Provider|Linux|Network Devices|Office Suite|Windows|macOS,G0022,G0035,G0037,G1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027|M1032,5,5
T1178,SID-History Injection,privilege-escalation,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1114.001,Local Email Collection,collection,,,Windows,G0006,G0059,G0090,G0114,G1035,G1039,G1041,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1041|M1060,5,5
T1555.001,Keychain,credential-access,,,macOS,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027,5,5
T1547,Boot or Logon Autostart Execution,persistence,privilege-escalation,,Linux|Network Devices|Windows|macOS,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1003.004,LSA Secrets,credential-access,,,Windows,G0004,G0016,G0027,G0035,G0045,G0049,G0064,G0069,G0077,G1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1026|M1027,5,5
T1013,Port Monitors,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1600,Weaken Encryption,defense-impairment,,,Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1606.002,SAML Tokens,credential-access,,,IaaS|Identity Provider|Office Suite|SaaS|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1018|M1026|M1047,5,5
T1192,Spearphishing Link,initial-access,,,Linux|Office 365|SaaS|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3
T1036.008,Masquerade File Type,stealth,,,Linux|Windows|macOS,G0129,G1017,G1043,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1040|M1049,3,7
T1489,Service Stop,impact,,,ESXi|IaaS|Linux|Windows|macOS,G0032,G0034,G0094,G0102,G0119,G1004,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1024|M1030|M1060,8,2
T1587.001,Malware,resource-development,,,PRE,G0003,G0004,G0010,G0016,G0032,G0034,G0046,G0049,G0094,G0099,G0119,G0129,G0139,G1007,G1009,G1014,G1016,G1036,G1039,G1040,G1045,G1048,G1052,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1121,Regsvcs/Regasm,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1652,Device Driver Discovery,discovery,,,Linux|Windows|macOS,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1206,Sudo Caching,privilege-escalation,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1087.002,Domain Account,discovery,,,Linux|Windows|macOS,G0004,G0010,G0030,G0033,G0034,G0035,G0037,G0045,G0046,G0049,G0060,G0069,G0096,G0102,G0114,G0117,G0129,G1004,G1015,G1016,G1017,G1022,G1032,G1039,G1043,G1046,G1053,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028,5,5
T1547.014,Active Setup,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1564,Hide Artifacts,stealth,,,ESXi|Linux|Office Suite|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1033|M1047|M1049,3,7
T1559.002,Dynamic Data Exchange,execution,,,Windows,G0007,G0040,G0046,G0065,G0067,G0069,G0080,G0084,G0092,G0121,G1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1042|M1048|M1054,5,5
T1204.002,Malicious File,execution,,,Linux|Windows|macOS,G0005,G0007,G0012,G0013,G0016,G0018,G0019,G0021,G0027,G0032,G0034,G0035,G0037,G0040,G0045,G0046,G0047,G0048,G0049,G0050,G0056,G0059,G0060,G0061,G0062,G0064,G0065,G0066,G0067,G0068,G0069,G0070,G0073,G0075,G0078,G0079,G0080,G0081,G0082,G0084,G0085,G0087,G0089,G0090,G0091,G0092,G0094,G0095,G0098,G0099,G0100,G0102,G0103,G0107,G0112,G0119,G0121,G0126,G0127,G0129,G0130,G0131,G0133,G0134,G0136,G0137,G0138,G0140,G0142,G1001,G1002,G1006,G1007,G1008,G1011,G1012,G1018,G1026,G1031,G1033,G1036,G1039,G1046,G1052,G1054,G1055,,M1017|M1038|M1040,5,5
T1591.003,Identify Business Tempo,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1685.004,Disable or Modify Linux Audit System Log,defense-impairment,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1063,Security Software Discovery,discovery,,,Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1071.005,Publish/Subscribe Protocols,command-and-control,,,Linux|Network Devices|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031|M1037,5,5
T1592.001,Hardware,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1080,Taint Shared Content,lateral-movement,,,Linux|Office Suite|SaaS|Windows|macOS,G0012,G0047,G0060,G1021,G1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1038|M1049|M1050,5,5
T1484.002,Trust Modification,defense-impairment,privilege-escalation,,Identity Provider|Windows,G1015,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026,5,5
T1213.006,Databases,collection,,,IaaS|Linux|SaaS|Windows|macOS,G0010,G0034,G0037,G1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1041|M1047|M1054,5,5
T1573.001,Symmetric Cryptography,command-and-control,,,ESXi|Linux|Network Devices|Windows|macOS,G0007,G0012,G0032,G0038,G0060,G0064,G0069,G0100,G0126,G0128,G0129,G1017,G1039,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031,5,5
T1087.001,Local Account,discovery,,,ESXi|Linux|Windows|macOS,G0004,G0006,G0010,G0018,G0022,G0027,G0030,G0033,G0049,G0050,G0096,G0114,G0117,G1009,G1017,G1039,G1044,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028,5,5
T1167,Securityd Memory,credential-access,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1586.001,Social Media Accounts,resource-development,,,PRE,G0034,G0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1176.001,Browser Extensions,persistence,,,Linux|Windows|macOS,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1033|M1038|M1047|M1051,5,5
T1527,Application Access Token,lateral-movement,stealth,,Office 365|SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1562.009,Safe Mode Boot,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1180,Screensaver,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1542.005,TFTP Boot,persistence,stealth,,Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1028|M1031|M1035|M1046|M1047,3,7
T1686.003,Windows Host Firewall,defense-impairment,,,Windows,G0032,G0049,G0059,G1009,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1024|M1047,5,5
T1543.003,Windows Service,persistence,privilege-escalation,,Windows,G0004,G0008,G0022,G0027,G0030,G0032,G0046,G0049,G0050,G0056,G0073,G0080,G0081,G0082,G0094,G0096,G0102,G0105,G0108,G0139,G0143,G1006,G1021,G1030,G1043,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1028|M1040|M1045|M1047,8,2
T1568.001,Fast Flux DNS,command-and-control,,,ESXi|Linux|Windows|macOS,G0045,G0047,G0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1497.001,System Checks,discovery,stealth,,Linux|Windows|macOS,G0012,G0047,G0049,G0090,G0094,G0120,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1053.003,Cron,execution,persistence,privilege-escalation,ESXi|Linux|macOS,G0082,G0106,G1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1069.002,Domain Groups,discovery,,,Linux|Windows|macOS,G0004,G0010,G0035,G0046,G0049,G0100,G0129,G1004,G1015,G1017,G1022,G1032,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1588.006,Vulnerabilities,resource-development,,,PRE,G0034,G1017,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1566.002,Spearphishing Link,initial-access,,,Identity Provider|Linux|Office Suite|SaaS|Windows|macOS,G0006,G0010,G0016,G0021,G0022,G0032,G0034,G0040,G0046,G0049,G0050,G0059,G0061,G0064,G0065,G0066,G0069,G0080,G0085,G0087,G0090,G0092,G0094,G0095,G0098,G0099,G0102,G0103,G0112,G0120,G0121,G0128,G0129,G0134,G0140,G0142,G1006,G1011,G1014,G1018,G1020,G1037,G1039,G1044,G1046,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1021|M1047|M1054,7,3
T1165,Startup Items,persistence,privilege-escalation,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1070.002,Clear Linux or Mac System Logs,stealth,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1499.004,Application or System Exploitation,impact,,,IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,5,5
T1137,Office Application Startup,persistence,,,Office Suite|Windows,G0047,G0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1042|M1051|M1054,5,5
T1218.004,InstallUtil,stealth,,,Windows,G0045,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042,3,7
T1598.003,Spearphishing Link,reconnaissance,,,PRE,G0007,G0034,G0035,G0040,G0050,G0059,G0094,G0121,G0122,G0128,G0129,G1012,G1015,G1033,G1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1054,7,3
T1021.004,SSH,lateral-movement,,,ESXi|Linux|macOS,G0032,G0036,G0045,G0046,G0049,G0065,G0087,G0098,G0106,G0117,G0119,G0139,G0143,G1015,G1016,G1023,G1045,G1046,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1032|M1042,5,5
T1098.003,Additional Cloud Roles,persistence,privilege-escalation,,IaaS|Identity Provider|Office Suite|SaaS,G1004,G1015,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026|M1032,5,5
T1547.012,Print Processors,persistence,privilege-escalation,,Windows,G1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1089,Disabling Security Tools,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1487,Disk Structure Wipe,impact,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
